channel,electrode,x,y,stim,stim_unit,pad_id
631,25892,2660.0,2047.5,False,,661.0
635,25012,2660.0,1977.5,False,,662.0
643,23692,2660.0,1872.5,False,,664.0
647,24353,2677.5,1925.0,True,29,663.0
771,22812,2660.0,1802.5,False,,665.0
823,23912,2660.0,1890.0,False,,664.0
827,23032,2660.0,1820.0,False,,665.0
831,23472,2660.0,1855.0,False,,664.0
847,25233,2677.5,1995.0,False,,662.0
851,24572,2660.0,1942.5,False,,663.0
855,26113,2677.5,2065.0,False,,661.0
859,25893,2677.5,2047.5,False,,661.0
871,26112,2660.0,2065.0,False,,661.0
875,25232,2660.0,1995.0,False,,662.0
879,24352,2660.0,1925.0,False,,663.0
895,24573,2677.5,1942.5,False,,663.0
