channel,electrode,x,y,stim,stim_unit,pad_id
13,12537,3797.5,980.0,False,,393.0
15,11400,3150.0,892.5,False,,391.0
17,12533,3727.5,980.0,False,,394.0
19,11623,3202.5,910.0,False,,390.0
21,11403,3202.5,892.5,False,,390.0
23,11396,3080.0,892.5,True,24,392.0
25,12318,3815.0,962.5,False,,393.0
29,12314,3745.0,962.5,False,,394.0
51,12317,3797.5,962.5,False,,393.0
77,11616,3080.0,910.0,False,,392.0
89,11397,3097.5,892.5,False,,392.0
105,11402,3185.0,892.5,False,,390.0
121,12313,3727.5,962.5,False,,394.0
217,11399,3132.5,892.5,False,,391.0
221,12534,3745.0,980.0,False,,394.0
