channel,electrode,x,y,stim,stim_unit,pad_id
105,16006,2905.0,1260.0,False,,625.0
619,19306,2905.0,1522.5,False,,621.0
623,18426,2905.0,1452.5,False,,622.0
651,18646,2905.0,1470.0,False,,622.0
659,17766,2905.0,1400.0,False,,623.0
691,16886,2905.0,1330.0,False,,624.0
699,17986,2905.0,1417.5,False,,623.0
703,16226,2905.0,1277.5,False,,625.0
707,17106,2905.0,1347.5,False,,624.0
719,16887,2922.5,1330.0,False,,624.0
747,17546,2905.0,1382.5,True,29,623.0
767,19087,2922.5,1505.0,False,,621.0
787,19086,2905.0,1505.0,False,,621.0
