channel,electrode,x,y,stim,stim_unit,pad_id
615,25896,2730.0,2047.5,False,,644.0
663,24357,2747.5,1925.0,True,29,646.0
667,22816,2730.0,1802.5,False,,648.0
671,23696,2730.0,1872.5,False,,647.0
675,25238,2765.0,1995.0,False,,645.0
683,25898,2765.0,2047.5,False,,644.0
747,23917,2747.5,1890.0,False,,647.0
755,23037,2747.5,1820.0,False,,648.0
759,23698,2765.0,1872.5,False,,647.0
763,24578,2765.0,1942.5,False,,646.0
787,22817,2747.5,1802.5,False,,648.0
791,23257,2747.5,1837.5,False,,648.0
795,23697,2747.5,1872.5,False,,647.0
799,23036,2730.0,1820.0,False,,648.0
823,24576,2730.0,1942.5,False,,646.0
831,25237,2747.5,1995.0,False,,645.0
835,25017,2747.5,1977.5,False,,645.0
843,25897,2747.5,2047.5,False,,644.0
847,25236,2730.0,1995.0,False,,645.0
851,24356,2730.0,1925.0,False,,646.0
875,25457,2747.5,2012.5,False,,645.0
879,24577,2747.5,1942.5,False,,646.0
