channel,electrode,x,y,stim,stim_unit,pad_id
21,18447,3272.5,1452.5,False,,457.0
35,18227,3272.5,1435.0,False,,457.0
39,18450,3325.0,1452.5,False,,458.0
79,18236,3430.0,1435.0,False,,460.0
83,18240,3500.0,1435.0,False,,461.0
87,18446,3255.0,1452.5,False,,457.0
123,18457,3447.5,1452.5,False,,460.0
127,18461,3517.5,1452.5,False,,461.0
159,18241,3517.5,1435.0,False,,461.0
163,18237,3447.5,1435.0,False,,460.0
215,18454,3395.0,1452.5,True,25,459.0
543,18460,3500.0,1452.5,False,,461.0
559,18456,3430.0,1452.5,False,,460.0
575,18233,3377.5,1435.0,False,,459.0
603,18229,3307.5,1435.0,False,,458.0
619,18234,3395.0,1435.0,False,,459.0
623,18449,3307.5,1452.5,False,,458.0
631,18453,3377.5,1452.5,False,,459.0
735,18226,3255.0,1435.0,False,,457.0
763,18230,3325.0,1435.0,False,,458.0
