channel,electrode,x,y,stim,stim_unit,pad_id
601,8081,2817.5,630.0,False,,177.0
621,10056,2730.0,787.5,True,20,157.0
685,10057,2747.5,787.5,False,,157.0
701,10277,2747.5,805.0,False,,157.0
709,7861,2817.5,612.5,False,,177.0
713,7862,2835.0,612.5,False,,177.0
825,9377,2397.5,735.0,False,,90.0
857,4093,2327.5,315.0,False,,80.0
865,5413,2327.5,420.0,False,,78.0
869,9378,2415.0,735.0,False,,90.0
877,5632,2310.0,437.5,False,,78.0
885,3873,2327.5,297.5,False,,80.0
896,4092,2310.0,315.0,False,,80.0
912,5634,2345.0,437.5,False,,78.0
953,5633,2327.5,437.5,False,,78.0
1005,4094,2345.0,315.0,False,,80.0
