channel,electrode,x,y,stim,stim_unit,pad_id
642,15502,1785.0,1225.0,False,,1608.0
830,15283,1802.5,1207.5,False,,1608.0
858,25186,1855.0,1995.0,False,,1612.0
866,14402,1785.0,1137.5,False,,1609.0
870,24967,1872.5,1977.5,False,,1612.0
874,15282,1785.0,1207.5,False,,1608.0
881,13743,1802.5,1085.0,False,,1610.0
896,13742,1785.0,1085.0,False,,1610.0
914,25846,1855.0,2047.5,False,,1611.0
918,25187,1872.5,1995.0,False,,1612.0
940,14622,1785.0,1155.0,False,,1609.0
958,25847,1872.5,2047.5,False,,1611.0
967,26067,1872.5,2065.0,False,,1611.0
978,14623,1802.5,1155.0,False,,1609.0
989,13962,1785.0,1102.5,True,17,1610.0
