channel,electrode,x,y,stim,stim_unit,pad_id
538,19635,962.5,1557.5,False,,1434.0
542,20734,945.0,1645.0,False,,1433.0
550,20514,945.0,1627.5,False,,1433.0
566,21175,962.5,1680.0,False,,1432.0
590,19854,945.0,1575.0,False,,1434.0
642,18975,962.5,1505.0,False,,1435.0
694,18974,945.0,1505.0,False,,1435.0
710,22055,962.5,1750.0,False,,1431.0
714,21394,945.0,1697.5,False,,1432.0
726,20515,962.5,1627.5,True,13,1433.0
738,22054,945.0,1750.0,False,,1431.0
742,19194,945.0,1522.5,False,,1435.0
758,21395,962.5,1697.5,False,,1432.0
