channel,electrode,x,y,stim,stim_unit,pad_id
726,15928,1540.0,1260.0,False,,1556.0
794,17688,1540.0,1400.0,False,,1554.0
810,16147,1522.5,1277.5,False,,1556.0
814,18347,1522.5,1452.5,False,,1553.0
826,16808,1540.0,1330.0,False,,1555.0
838,17468,1540.0,1382.5,False,,1554.0
842,18348,1540.0,1452.5,False,,1553.0
848,15488,1540.0,1225.0,False,,1557.0
854,15267,1522.5,1207.5,False,,1557.0
858,15268,1540.0,1207.5,False,,1557.0
870,16807,1522.5,1330.0,True,14,1555.0
874,17687,1522.5,1400.0,False,,1554.0
966,16148,1540.0,1277.5,False,,1556.0
