channel,electrode,x,y,stim,stim_unit,pad_id
431,23069,3307.5,1820.0,False,,552.0
435,23949,3307.5,1890.0,False,,551.0
439,24610,3325.0,1942.5,False,,550.0
443,22850,3325.0,1802.5,False,,552.0
447,23730,3325.0,1872.5,False,,551.0
535,25270,3325.0,1995.0,False,,549.0
539,25930,3325.0,2047.5,False,,548.0
547,24389,3307.5,1925.0,True,28,550.0
551,23509,3307.5,1855.0,False,,551.0
555,25269,3307.5,1995.0,False,,549.0
595,23729,3307.5,1872.5,False,,551.0
599,22849,3307.5,1802.5,False,,552.0
603,24390,3325.0,1925.0,False,,550.0
639,26149,3307.5,2065.0,False,,548.0
723,25489,3307.5,2012.5,False,,549.0
731,24609,3307.5,1942.5,False,,550.0
763,25049,3307.5,1977.5,False,,549.0
