channel,electrode,x,y,stim,stim_unit,pad_id
67,19330,3325.0,1522.5,False,,467.0
99,19120,3500.0,1505.0,False,,470.0
103,19124,3570.0,1505.0,False,,471.0
107,19116,3430.0,1505.0,False,,469.0
115,19343,3552.5,1522.5,False,,471.0
135,19117,3447.5,1505.0,True,26,469.0
139,19344,3570.0,1522.5,False,,471.0
143,19121,3517.5,1505.0,False,,470.0
227,19123,3552.5,1505.0,False,,471.0
235,19337,3447.5,1522.5,False,,469.0
411,19114,3395.0,1505.0,False,,468.0
515,19110,3325.0,1505.0,False,,467.0
571,19113,3377.5,1505.0,False,,468.0
591,19340,3500.0,1522.5,False,,470.0
599,19109,3307.5,1505.0,False,,467.0
607,19336,3430.0,1522.5,False,,469.0
731,19333,3377.5,1522.5,False,,468.0
755,19329,3307.5,1522.5,False,,467.0
