,channel,electrode,x,y,stim,stim_unit,pad_id,stim_unit_offset
0,1,9883,3552.5,770.0,False,,361.0,1023
1,9,9887,3622.5,770.0,False,,360.0,1023
2,13,9664,3570.0,752.5,False,,361.0,1023
3,17,9660,3500.0,752.5,True,24.0,362.0,1023
4,21,9668,3640.0,752.5,False,,360.0,1023
5,23,9433,3377.5,735.0,False,,364.0,1023
6,67,9656,3430.0,752.5,False,,363.0,1023
7,73,9437,3447.5,735.0,False,,363.0,1023
8,97,9447,3622.5,735.0,False,,360.0,1023
9,109,9657,3447.5,752.5,False,,363.0,1023
10,113,9884,3570.0,770.0,False,,361.0,1023
11,117,9661,3517.5,752.5,False,,362.0,1023
12,145,9873,3377.5,770.0,False,,364.0,1023
13,181,9654,3395.0,752.5,False,,364.0,1023
14,221,9440,3500.0,735.0,False,,362.0,1023
15,225,9444,3570.0,735.0,False,,361.0,1023
16,229,9667,3622.5,752.5,False,,360.0,1023
17,233,9659,3482.5,752.5,False,,362.0,1023
18,237,9663,3552.5,752.5,False,,361.0,1023
19,277,9666,3605.0,752.5,False,,360.0,1023
20,389,9874,3395.0,770.0,False,,364.0,1023
21,537,9653,3377.5,752.5,False,,364.0,1023
