,channel,electrode,x,y,stim,stim_unit,pad_id,stim_unit_offset
0,663,24343,2502.5,1925.0,False,,697.0,703
1,671,23682,2485.0,1872.5,False,,698.0,703
2,787,24562,2485.0,1942.5,False,,697.0,703
3,823,23903,2502.5,1890.0,False,,698.0,703
4,827,23023,2502.5,1820.0,False,,699.0,703
5,831,22143,2502.5,1750.0,False,,700.0,703
6,843,22803,2502.5,1802.5,False,,699.0,703
7,847,22142,2485.0,1750.0,False,,700.0,703
8,851,21262,2485.0,1680.0,False,,701.0,703
9,855,23022,2485.0,1820.0,True,30.0,699.0,703
10,875,22363,2502.5,1767.5,False,,700.0,703
11,879,21483,2502.5,1697.5,False,,701.0,703
12,887,23902,2485.0,1890.0,False,,698.0,703
13,947,21482,2485.0,1697.5,False,,701.0,703
14,951,22362,2485.0,1767.5,False,,700.0,703
15,955,24342,2485.0,1925.0,False,,697.0,703
16,995,21263,2502.5,1680.0,False,,701.0,703
17,999,24563,2502.5,1942.5,False,,697.0,703
