,channel,electrode,x,y,stim,stim_unit,pad_id,stim_unit_offset
0,389,5033,3377.5,385.0,False,,267.0,767
1,397,4139,3132.5,315.0,False,,234.0,767
2,461,4812,3360.0,367.5,False,,267.0,767
3,521,4813,3377.5,367.5,False,,267.0,767
4,557,5032,3360.0,385.0,False,,267.0,767
5,597,3918,3115.0,297.5,False,,234.0,767
6,605,3919,3132.5,297.5,False,,234.0,767
7,765,4138,3115.0,315.0,False,,234.0,767
8,793,12433,1977.5,980.0,False,,1.0,767
9,829,12214,1995.0,962.5,False,,1.0,767
10,940,12434,1995.0,980.0,False,,1.0,767
11,965,13094,1995.0,1032.5,True,17.0,0.0,767
12,968,12874,1995.0,1015.0,False,,0.0,767
13,994,13093,1977.5,1032.5,False,,0.0,767
