,channel,electrode,x,y,stim,stim_unit,pad_id,stim_unit_offset
0,145,1748,3640.0,122.5,False,,294.0,1023
1,157,1967,3622.5,140.0,False,,294.0,1023
2,169,2624,3570.0,192.5,False,,290.0,1023
3,173,2628,3640.0,192.5,False,,293.0,1023
4,185,2847,3622.5,210.0,False,,293.0,1023
5,285,2845,3587.5,210.0,False,,290.0,1023
6,297,2626,3605.0,192.5,False,,290.0,1023
7,301,1965,3587.5,140.0,False,,291.0,1023
8,329,1085,3587.5,70.0,False,,292.0,1023
9,437,1304,3570.0,87.5,False,,292.0,1023
10,441,1305,3587.5,87.5,True,21.0,292.0,1023
11,445,2185,3587.5,157.5,False,,291.0,1023
12,449,2627,3622.5,192.5,False,,293.0,1023
13,453,1086,3605.0,70.0,False,,292.0,1023
14,457,1747,3622.5,122.5,False,,294.0,1023
15,569,1968,3640.0,140.0,False,,294.0,1023
16,577,2848,3640.0,210.0,False,,293.0,1023
17,581,2625,3587.5,192.5,False,,290.0,1023
18,585,1745,3587.5,122.5,False,,291.0,1023
19,589,1966,3605.0,140.0,False,,291.0,1023
20,597,1964,3570.0,140.0,False,,291.0,1023
21,601,1084,3570.0,70.0,False,,292.0,1023
