,channel,electrode,x,y,stim,stim_unit,pad_id,stim_unit_offset
0,619,19306,2905.0,1522.5,False,,621.0,0
1,623,18426,2905.0,1452.5,False,,622.0,0
2,651,18646,2905.0,1470.0,True,29.0,622.0,0
3,659,17766,2905.0,1400.0,False,,623.0,0
4,691,16886,2905.0,1330.0,False,,624.0,0
5,699,17986,2905.0,1417.5,False,,623.0,0
6,707,17106,2905.0,1347.5,False,,624.0,0
7,719,16887,2922.5,1330.0,False,,624.0,0
8,747,17546,2905.0,1382.5,False,,623.0,0
9,759,19967,2922.5,1575.0,False,,620.0,0
10,767,19087,2922.5,1505.0,False,,621.0,0
11,787,19086,2905.0,1505.0,False,,621.0,0
12,791,19746,2905.0,1557.5,False,,620.0,0
13,835,19966,2905.0,1575.0,False,,620.0,0
