,channel,electrode,x,y,stim,stim_unit,pad_id,stim_unit_offset
0,643,23692,2660.0,1872.5,False,,664.0,0
1,647,24353,2677.5,1925.0,False,,663.0,0
2,675,25232,2660.0,1995.0,False,,662.0,0
3,679,14017,2747.5,1102.5,False,,660.0,0
4,723,25012,2660.0,1977.5,True,29.0,662.0,0
5,727,25892,2660.0,2047.5,False,,661.0,0
6,741,13796,2730.0,1085.0,False,,660.0,0
7,771,25233,2677.5,1995.0,False,,662.0,0
8,779,14016,2730.0,1102.5,False,,660.0,0
9,815,13797,2747.5,1085.0,False,,660.0,0
10,823,23912,2660.0,1890.0,False,,664.0,0
11,831,23472,2660.0,1855.0,False,,664.0,0
12,851,24572,2660.0,1942.5,False,,663.0,0
13,855,26113,2677.5,2065.0,False,,661.0,0
14,859,25893,2677.5,2047.5,False,,661.0,0
15,871,26112,2660.0,2065.0,False,,661.0,0
16,879,24352,2660.0,1925.0,False,,663.0,0
17,895,24573,2677.5,1942.5,False,,663.0,0
