,channel,electrode,x,y,stim,stim_unit,pad_id,stim_unit_offset
0,390,20515,962.5,1627.5,False,,1433.0,208
1,538,19635,962.5,1557.5,False,,1434.0,208
2,542,20734,945.0,1645.0,False,,1433.0,208
3,586,18974,945.0,1505.0,False,,1435.0,208
4,590,19854,945.0,1575.0,False,,1434.0,208
5,622,17435,962.5,1382.5,False,,1437.0,208
6,626,18315,962.5,1452.5,False,,1436.0,208
7,678,18975,962.5,1505.0,True,13.0,1435.0,208
8,682,20514,945.0,1627.5,False,,1433.0,208
9,686,17434,945.0,1382.5,False,,1437.0,208
10,694,18314,945.0,1452.5,False,,1436.0,208
11,742,19194,945.0,1522.5,False,,1435.0,208
12,750,17654,945.0,1400.0,False,,1437.0,208
