,channel,electrode,x,y,stim,stim_unit,pad_id,stim_unit_offset
0,779,24988,2240.0,1977.5,False,,747.0,1023
1,823,25869,2257.5,2047.5,False,,746.0,1023
2,827,25868,2240.0,2047.5,False,,746.0,1023
3,899,24328,2240.0,1925.0,False,,748.0,1023
4,903,25208,2240.0,1995.0,False,,747.0,1023
5,922,26088,2240.0,2065.0,False,,746.0,1023
6,927,24548,2240.0,1942.5,True,31.0,748.0,1023
7,947,23448,2240.0,1855.0,False,,749.0,1023
8,951,23008,2240.0,1820.0,False,,750.0,1023
9,955,23888,2240.0,1890.0,False,,749.0,1023
10,963,22789,2257.5,1802.5,False,,750.0,1023
11,1007,22788,2240.0,1802.5,False,,750.0,1023
12,1011,23668,2240.0,1872.5,False,,749.0,1023
13,1015,24329,2257.5,1925.0,False,,748.0,1023
